
0.901234567901 --- {'classify__C': 800.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 900.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 900.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 1000.0, 'classify__tol': 1e-05, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.901234567901 --- {'classify__C': 1000.0, 'classify__tol': 1e-08, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 3}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 200.0, 'classify__degree': 2, 'classify__gamma': 3}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 1}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 1}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 4}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 500.0, 'classify__degree': 2, 'classify__gamma': 4}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 1}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 1}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 3}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 3}
0.900740740741 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 2}
0.900740740741 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 2}
0.900740740741 --- {'classify__C': 300.0, 'classify__tol': 1e-05, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.900740740741 --- {'classify__C': 300.0, 'classify__tol': 1e-08, 'classify__gamma': 3, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 1}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 300.0, 'classify__degree': 2, 'classify__gamma': 1}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 3}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 400.0, 'classify__degree': 2, 'classify__gamma': 3}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 2}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 700.0, 'classify__degree': 2, 'classify__gamma': 2}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 3}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 800.0, 'classify__degree': 2, 'classify__gamma': 3}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 2}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 900.0, 'classify__degree': 2, 'classify__gamma': 2}
0.90024691358 --- {'classify__tol': 1e-05, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 1}
0.90024691358 --- {'classify__tol': 1e-08, 'classify__cache_size': 4096, 'classify__kernel': 'poly', 'classify__C': 1000.0, 'classify__degree': 2, 'classify__gamma': 1}
0.90024691358 --- {'classify__C': 400.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90024691358 --- {'classify__C': 400.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90024691358 --- {'classify__C': 700.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90024691358 --- {'classify__C': 700.0, 'classify__tol': 1e-08, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90024691358 --- {'classify__C': 900.0, 'classify__tol': 1e-05, 'classify__gamma': 2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
